Код,Найменування,Група
41030700,|Субвенція з державного бюджету бюджету Автономної Республіки Крим для здійснення природоохоронного заходу з розроблення матеріалів до проекту зміни меж та розширення території Ялтинського гірсько-лісового природного заповідника|,Інфраструктура та розвиток
41031400,|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів в рамках Надзвичайної кредитної програми для відновлення України|,Інфраструктура та розвиток
41031600,|Субвенція з державного бюджету місцевим бюджетам на стимулювання розвитку індустріальних парків|,Інфраструктура та розвиток
41031700,|Субвенція з державного бюджету місцевим бюджетам на відновлення об'єктів критичної інфраструктури в рамках спільного з Міжнародним банком реконструкції та розвитку проекту «Проект розвитку міської інфраструктури - 2»|,Інфраструктура та розвиток
41032100,|Субвенція з державного бюджету бюджету міста Києва на ремонт та реконструкцію мосту імені Є. О. Патона|,Інфраструктура та розвиток
41032200,"|Субвенція з державного бюджету місцевим бюджетам на розвиток спортивної інфраструктури, у тому числі реконструкцію, будівельно-ремонтні роботи об'єктів закладів фізичної культури і спорту, що забезпечують розвиток резервного спорту, льодових палаців/арен та стадіонів|",Інфраструктура та розвиток
41032400,|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів транскордонного співробітництва|,Інфраструктура та розвиток
41033100,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів в рамках Програми з відновлення України(""https://zakon.rada.gov.ua/rada/show/971_002-20#n3"")|",Інфраструктура та розвиток
41034700,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів (об'єктів, заходів), спрямованих на ліквідацію наслідків збройної агресії|",Інфраструктура та розвиток
41036700,|Субвенція з державного бюджету обласному бюджету Донецької області на погашення заборгованості за електричну енергію підприємств водопостачання|,Інфраструктура та розвиток
41037100,|Субвенція з державного бюджету бюджету Харківської міської територіальної громади на подовження третьої лінії метрополітену у м. Харкові|,Інфраструктура та розвиток
41037300,"|Субвенція з державного бюджету місцевим бюджетам на фінансове забезпечення будівництва, реконструкції, ремонту і утримання автомобільних доріг загального користування місцевого значення, вулиць і доріг комунальної власності у населених пунктах|",Інфраструктура та розвиток
41037600,|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів у рамках проекту «Рішення для відновлюваної енергетики (RES)»|,Інфраструктура та розвиток
41037700,|Субвенція з державного бюджету бюджету Дніпровської міської територіальної громади на завершення будівництва метрополітену у м. Дніпрі|,Інфраструктура та розвиток
41038100,"|Субвенція з державного бюджету місцевим бюджетам на фінансове забезпечення будівництва, реконструкції, ремонту і утримання автомобільних доріг загального користування місцевого значення, вулиць і доріг комунальної власності у населених пунктах для обласного бюджету Харківської області|",Інфраструктура та розвиток
41038800,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів в рамках Програми відновлення України III(""https://zakon.rada.gov.ua/rada/show/971_002-24#n23"")|",Інфраструктура та розвиток
