Код громади,Назва громади,Вид кластеризації,Рік,Кластер,Відстань до центроїда
2350200000,Єрківська,Пул (KMeans),2022,0,0.9400444139708903
2350200000,Єрківська,Пул (Математичний),2022,1,0.4656399753120476
2351900000,Іваньківська,Пул (KMeans),2022,2,0.4585348916535746
2351900000,Іваньківська,Пул (Математичний),2022,0,1.2854261613955942
2352200000,Іркліївська,Пул (KMeans),2022,2,0.23236368220292958
2352200000,Іркліївська,Пул (Математичний),2022,0,1.1993601944062393
2355800000,Бабанська,Пул (KMeans),2022,2,0.33069305389468007
2355800000,Бабанська,Пул (Математичний),2022,0,1.2397473552403133
2356000000,Багачевська,Пул (KMeans),2022,2,0.5352796518777283
2356000000,Багачевська,Пул (Математичний),2022,0,1.2373775250240033
2352700000,Балаклеївська,Пул (KMeans),2022,2,1.7996628128917538
2352700000,Балаклеївська,Пул (Математичний),2022,0,2.350173371005567
2355600000,Баштечківська,Пул (KMeans),2022,2,0.37617887279772816
2355600000,Баштечківська,Пул (Математичний),2022,0,1.2812297782995352
2352900000,Березняківська,Пул (KMeans),2022,2,0.3918401745855759
2352900000,Березняківська,Пул (Математичний),2022,0,1.2425823709935493
2353000000,Бобрицька,Пул (KMeans),2022,2,1.8230663203268112
2353000000,Бобрицька,Пул (Математичний),2022,0,2.37036619840173
2355900000,Будищенська,Пул (KMeans),2022,2,1.8260656205291155
2355900000,Будищенська,Пул (Математичний),2022,0,2.372881345893925
2353100000,Бужанська,Пул (KMeans),2022,2,0.3968586640544939
2353100000,Бужанська,Пул (Математичний),2022,0,1.2770547840715059
2352600000,Буцька,Пул (KMeans),2022,2,0.3509985690241225
2352600000,Буцька,Пул (Математичний),2022,0,1.2518853359351994
2350100000,Білозірська,Пул (KMeans),2022,2,0.40788783921063915
2350100000,Білозірська,Пул (Математичний),2022,0,1.2205014083652461
2353200000,Великохутірська,Пул (KMeans),2022,2,0.49725512904306807
2353200000,Великохутірська,Пул (Математичний),2022,0,1.346980562985517
2355700000,Виноградська,Пул (KMeans),2022,2,0.38061490015146215
2355700000,Виноградська,Пул (Математичний),2022,0,1.2676096196063178
2353400000,Водяницька,Пул (KMeans),2022,2,0.29848321494652175
2353400000,Водяницька,Пул (Математичний),2022,0,1.2334752627544459
2356100000,Вознесенська,Пул (KMeans),2022,2,0.3255122114169141
2356100000,Вознесенська,Пул (Математичний),2022,0,1.2701125875144816
2353300000,Вільшанська,Пул (KMeans),2022,2,0.45343055052356557
2353300000,Вільшанська,Пул (Математичний),2022,0,1.2394430709893363
2356200000,Гельмязівська,Пул (KMeans),2022,2,1.7968803957274024
2356200000,Гельмязівська,Пул (Математичний),2022,0,2.347587672418899
2356300000,Городищенська,Пул (KMeans),2022,2,0.38687966134579765
2356300000,Городищенська,Пул (Математичний),2022,0,1.2088485389397627
2353500000,Дмитрушківська,Пул (KMeans),2022,2,0.3401722259548578
2353500000,Дмитрушківська,Пул (Математичний),2022,0,1.2037076218500617
2355500000,Драбівська,Пул (KMeans),2022,2,0.14672281636762824
2355500000,Драбівська,Пул (Математичний),2022,0,1.2504256888136518
2351400000,Жашківська,Пул (KMeans),2022,2,0.29900333269001766
2351400000,Жашківська,Пул (Математичний),2022,0,1.2256842567004256
2356400000,Звенигородська,Пул (KMeans),2022,2,0.3852324488832189
2356400000,Звенигородська,Пул (Математичний),2022,0,1.2124441278720621
2356500000,Золотоніська,Пул (KMeans),2022,2,1.8105473430692391
2356500000,Золотоніська,Пул (Математичний),2022,0,2.3531023075664894
2352400000,Зорівська,Пул (KMeans),2022,0,1.2416718860995275
2352400000,Зорівська,Пул (Математичний),2022,1,0.9130520776746979
2356600000,Калинопільська,Пул (KMeans),2022,2,0.26481999419004837
2356600000,Калинопільська,Пул (Математичний),2022,0,1.1993503271980164
2351500000,Кам'янська,Пул (KMeans),2022,2,0.3041807563316199
2351500000,Кам'янська,Пул (Математичний),2022,0,1.2002119092681516
2355400000,Канівська,Пул (KMeans),2022,0,0.7954187314924892
2355400000,Канівська,Пул (Математичний),2022,1,0.08584312477674261
2356700000,Корсунь-Шевченківська,Пул (KMeans),2022,2,0.0744784055102594
2356700000,Корсунь-Шевченківська,Пул (Математичний),2022,0,1.2169913582966387
2353600000,Ладижинська,Пул (KMeans),2022,2,0.3174483911482342
2353600000,Ладижинська,Пул (Математичний),2022,0,1.212485325403724
2353800000,Леськівська,Пул (KMeans),2022,2,0.39661475742101854
2353800000,Леськівська,Пул (Математичний),2022,0,1.2172829904019065
2353900000,Лип'янська,Пул (KMeans),2022,2,0.5029614097689964
2353900000,Лип'янська,Пул (Математичний),2022,0,1.3278128092181214
2354000000,Лисянська,Пул (KMeans),2022,2,0.35438080169661174
2354000000,Лисянська,Пул (Математичний),2022,0,1.205280200563956
2351600000,Ліплявська,Пул (KMeans),2022,2,1.832584142710365
2351600000,Ліплявська,Пул (Математичний),2022,0,2.3783225605777925
2356800000,Маньківська,Пул (KMeans),2022,2,1.7955942526662922
2356800000,Маньківська,Пул (Математичний),2022,0,2.343569984382831
2352300000,Матусівська,Пул (KMeans),2022,2,0.4949599992420006
2352300000,Матусівська,Пул (Математичний),2022,0,1.2939023139813752
2354200000,Медведівська,Пул (KMeans),2022,2,0.4996946671379489
2354200000,Медведівська,Пул (Математичний),2022,0,1.281068969665642
2352500000,Михайлівська,Пул (KMeans),2022,2,0.321967447782026
2352500000,Михайлівська,Пул (Математичний),2022,0,1.2253301040126305
2351100000,Мліївська,Пул (KMeans),2022,2,0.43242727557311894
2351100000,Мліївська,Пул (Математичний),2022,0,1.2460159522085998
2350300000,Мокрокалигірська,Пул (KMeans),2022,2,0.38154245717842744
2350300000,Мокрокалигірська,Пул (Математичний),2022,0,1.2733522338309051
2356900000,Монастирищенська,Пул (KMeans),2022,2,0.6110631851652486
2356900000,Монастирищенська,Пул (Математичний),2022,0,1.2642074090054958
2357000000,Мошнівська,Пул (KMeans),2022,2,0.4892069965726807
2357000000,Мошнівська,Пул (Математичний),2022,0,1.2269181601736314
2350600000,Набутівська,Пул (KMeans),2022,2,0.4350830734444526
2350600000,Набутівська,Пул (Математичний),2022,0,1.2682668107651152
2357100000,Новодмитрівська,Пул (KMeans),2022,2,1.7944939891206848
2357100000,Новодмитрівська,Пул (Математичний),2022,0,2.345231436041893
2352000000,Паланська,Пул (KMeans),2022,0,1.0904106562481501
2352000000,Паланська,Пул (Математичний),2022,1,0.7188673462109498
2357200000,Піщанська,Пул (KMeans),2022,2,0.37652589810145903
2357200000,Піщанська,Пул (Математичний),2022,0,1.2284419444985089
2350800000,Ротмістрівська,Пул (KMeans),2022,2,0.39395879700213887
2350800000,Ротмістрівська,Пул (Математичний),2022,0,1.2208271778141242
2354600000,Руськополянська,Пул (KMeans),2022,2,0.3673008049694596
2354600000,Руськополянська,Пул (Математичний),2022,0,1.2059184276254018
2354700000,Сагунівська,Пул (KMeans),2022,2,0.4246617305028948
2354700000,Сагунівська,Пул (Математичний),2022,0,1.253511630059302
2350700000,Селищенська,Пул (KMeans),2022,2,0.47820828157458434
2350700000,Селищенська,Пул (Математичний),2022,0,1.2738817161301987
2355100000,Слобідська,Пул (KMeans),2022,2,1.7926103919175382
