Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020600] [Назву стерто] Додаткова дотація (виключена наприкінці 2024 року),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021100] [Назву стерто] Додаткова дотація (виключена наприкінці 2023 року),[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
2350200000,Єрківська,3954500.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3954500.0,0.0
2351900000,Іваньківська,0.0,1707300.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1707300.0,0.0,0.0
2352200000,Іркліївська,0.0,2611300.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2611300.0,0.0,0.0
2355800000,Бабанська,0.0,1870500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1870500.0,0.0,0.0
2356000000,Багачевська,0.0,29221900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29221900.0,0.0,0.0
2352700000,Балаклеївська,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355600000,Баштечківська,0.0,610600.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,610600.0,0.0,0.0
2352900000,Березняківська,0.0,3535000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3535000.0,0.0,0.0
2353000000,Бобрицька,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355900000,Будищенська,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2353100000,Бужанська,0.0,967500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,967500.0,0.0,0.0
2352600000,Буцька,0.0,1478700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1478700.0,0.0,0.0
2350100000,Білозірська,0.0,9280200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9280200.0,0.0,0.0
2353200000,Великохутірська,0.0,221900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,221900.0,0.0,0.0
2355700000,Виноградська,0.0,1144700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1144700.0,0.0,0.0
2353400000,Водяницька,0.0,1676800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1676800.0,0.0,0.0
2356100000,Вознесенська,0.0,513700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,513700.0,0.0,0.0
2353300000,Вільшанська,0.0,9124800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9124800.0,0.0,0.0
2356200000,Гельмязівська,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
