Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
2350200000,Єрківська,11950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11950000.0,0.0
2351900000,Іваньківська,0.0,5403600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5403600.0,0.0,0.0
2352200000,Іркліївська,0.0,11077000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11077000.0,0.0,0.0
2355800000,Бабанська,0.0,2124800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124800.0,0.0,0.0
2356000000,Багачевська,0.0,33357900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33357900.0,0.0,0.0
2352700000,Балаклеївська,0.0,3203100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583000.0,3203100.0,0.0,583000.0
2355600000,Баштечківська,0.0,4079800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4079800.0,0.0,0.0
2352900000,Березняківська,0.0,9367500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188200.0,9367500.0,0.0,188200.0
2353000000,Бобрицька,0.0,4525100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4525100.0,0.0,0.0
2355900000,Будищенська,3854700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214100.0,0.0,3854700.0,214100.0
2353100000,Бужанська,0.0,4174100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4174100.0,0.0,0.0
2352600000,Буцька,0.0,2756300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2756300.0,0.0,0.0
2350100000,Білозірська,0.0,8553400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8553400.0,0.0,0.0
2353200000,Великохутірська,0.0,1212100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212100.0,0.0,0.0
2355700000,Виноградська,0.0,6091500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186000.0,6091500.0,0.0,186000.0
2353400000,Водяницька,0.0,1464600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271400.0,1464600.0,0.0,271400.0
2356100000,Вознесенська,0.0,2251800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2251800.0,0.0,0.0
2353300000,Вільшанська,0.0,13995500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3381800.0,13995500.0,0.0,3381800.0
2356200000,Гельмязівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2356300000,Городищенська,0.0,17310400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17310400.0,0.0,0.0
2353500000,Дмитрушківська,0.0,5892400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5892400.0,0.0,0.0
2355500000,Драбівська,0.0,15287900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15287900.0,0.0,0.0
2351400000,Жашківська,0.0,11771600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11771600.0,0.0,0.0
2356400000,Звенигородська,0.0,586600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586600.0,0.0,0.0
2356500000,Золотоніська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2352400000,Зорівська,979100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667200.0,0.0,979100.0,2667200.0
2356600000,Калинопільська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2351500000,Кам'янська,0.0,14438600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14438600.0,0.0,0.0
2355400000,Канівська,18681500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18681500.0,0.0
2356700000,Корсунь-Шевченківська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2353600000,Ладижинська,0.0,11182700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6185800.0,11182700.0,0.0,6185800.0
2353800000,Леськівська,0.0,10220600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10220600.0,0.0,0.0
2353900000,Лип'янська,0.0,3273200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3273200.0,0.0,0.0
2354000000,Лисянська,0.0,14838300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14838300.0,0.0,0.0
2351600000,Ліплявська,0.0,388100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388100.0,0.0,0.0
