Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,"[41036800] Проект ""Ремонт житла для відновлення (HOPE)""",[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41031900] Шкільні автобуси,[41033300] Забезпечення харчуванням учнів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",[41036500] Облаштування безпечних умов (укриттів) у закладах охорони здоров'я,Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2350200000,Єрківська,0.0,0.0,0.0,0.0,12638700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12638700.0,0.0
2351900000,Іваньківська,0.0,0.0,0.0,0.0,10824800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10824800.0,0.0
2352200000,Іркліївська,0.0,0.0,0.0,0.0,53152500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53152500.0,0.0
2355800000,Бабанська,0.0,0.0,0.0,0.0,16886300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16886300.0,0.0
2356000000,Багачевська,0.0,0.0,0.0,0.0,42183100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42183100.0,0.0
2352700000,Балаклеївська,0.0,0.0,0.0,0.0,24543700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24543700.0,0.0
2355600000,Баштечківська,0.0,0.0,0.0,0.0,12920100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12920100.0,0.0
2352900000,Березняківська,0.0,0.0,0.0,0.0,16104900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16104900.0,0.0
2353000000,Бобрицька,0.0,0.0,0.0,0.0,14571400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14571400.0,0.0
2355900000,Будищенська,0.0,0.0,0.0,0.0,13878100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13878100.0,0.0
2353100000,Бужанська,0.0,0.0,0.0,0.0,12366800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12366800.0,0.0
2352600000,Буцька,0.0,0.0,0.0,0.0,15046000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15046000.0,0.0
