Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2350200000,Єрківська,0.0,0.0,0.0,10758600.0,0.0,0.0,0.0,0.0,0.0,10758600.0,0.0
2351900000,Іваньківська,0.0,0.0,0.0,9873700.0,0.0,0.0,0.0,0.0,0.0,9873700.0,0.0
2352200000,Іркліївська,0.0,0.0,0.0,44341500.0,0.0,0.0,0.0,0.0,0.0,44341500.0,0.0
2355800000,Бабанська,0.0,0.0,0.0,14109800.0,0.0,0.0,0.0,0.0,0.0,14109800.0,0.0
2356000000,Багачевська,0.0,0.0,0.0,36761100.0,0.0,0.0,0.0,0.0,0.0,36761100.0,0.0
2352700000,Балаклеївська,0.0,0.0,0.0,21429600.0,0.0,0.0,0.0,0.0,0.0,21429600.0,0.0
2355600000,Баштечківська,0.0,0.0,0.0,10765300.0,0.0,0.0,0.0,0.0,0.0,10765300.0,0.0
2352900000,Березняківська,0.0,0.0,0.0,12889900.0,0.0,0.0,0.0,0.0,0.0,12889900.0,0.0
2353000000,Бобрицька,0.0,0.0,0.0,12345200.0,0.0,0.0,0.0,0.0,0.0,12345200.0,0.0
2355900000,Будищенська,0.0,0.0,0.0,11889200.0,0.0,0.0,0.0,0.0,0.0,11889200.0,0.0
2353100000,Бужанська,0.0,0.0,0.0,12492000.0,0.0,0.0,0.0,0.0,0.0,12492000.0,0.0
2352600000,Буцька,0.0,0.0,0.0,14112800.0,0.0,0.0,0.0,0.0,0.0,14112800.0,0.0
2350100000,Білозірська,0.0,0.0,0.0,21555900.0,0.0,0.0,0.0,0.0,0.0,21555900.0,0.0
2353200000,Великохутірська,0.0,0.0,0.0,7845900.0,0.0,0.0,0.0,0.0,0.0,7845900.0,0.0
2355700000,Виноградська,0.0,0.0,0.0,11762100.0,0.0,0.0,0.0,0.0,0.0,11762100.0,0.0
2353400000,Водяницька,0.0,0.0,0.0,16060800.0,0.0,0.0,0.0,0.0,0.0,16060800.0,0.0
2356100000,Вознесенська,0.0,0.0,0.0,12436900.0,0.0,0.0,0.0,0.0,0.0,12436900.0,0.0
2353300000,Вільшанська,0.0,0.0,0.0,17125187.0,0.0,0.0,0.0,0.0,0.0,17125187.0,0.0
2356200000,Гельмязівська,0.0,0.0,0.0,23435700.0,0.0,0.0,0.0,0.0,0.0,23435700.0,0.0
2356300000,Городищенська,0.0,0.0,0.0,47223400.0,0.0,0.0,0.0,0.0,0.0,47223400.0,0.0
2353500000,Дмитрушківська,0.0,0.0,0.0,33654500.0,0.0,0.0,0.0,0.0,0.0,33654500.0,0.0
2355500000,Драбівська,0.0,0.0,0.0,33886200.0,0.0,0.0,0.0,0.0,0.0,33886200.0,0.0
2351400000,Жашківська,0.0,0.0,0.0,79513200.0,0.0,0.0,0.0,0.0,0.0,79513200.0,0.0
2356400000,Звенигородська,0.0,0.0,0.0,58638400.0,0.0,0.0,0.0,0.0,0.0,58638400.0,0.0
2356500000,Золотоніська,0.0,0.0,0.0,74582800.0,0.0,0.0,0.0,0.0,0.0,74582800.0,0.0
2352400000,Зорівська,0.0,0.0,0.0,8665100.0,0.0,0.0,0.0,0.0,0.0,8665100.0,0.0
2356600000,Калинопільська,0.0,0.0,0.0,32105000.0,0.0,0.0,0.0,0.0,0.0,32105000.0,0.0
2351500000,Кам'янська,0.0,0.0,0.0,43339500.0,0.0,0.0,0.0,0.0,0.0,43339500.0,0.0
2355400000,Канівська,0.0,0.0,0.0,49917200.0,0.0,0.0,0.0,0.0,0.0,49917200.0,0.0
2356700000,Корсунь-Шевченківська,0.0,0.0,0.0,38128200.0,0.0,0.0,0.0,0.0,0.0,38128200.0,0.0
2353600000,Ладижинська,0.0,0.0,0.0,21831200.0,0.0,0.0,0.0,0.0,0.0,21831200.0,0.0
2353800000,Леськівська,0.0,0.0,0.0,21974000.0,0.0,0.0,0.0,0.0,0.0,21974000.0,0.0
2353900000,Лип'янська,0.0,0.0,0.0,6419200.0,0.0,0.0,0.0,0.0,0.0,6419200.0,0.0
2354000000,Лисянська,0.0,0.0,0.0,31973500.0,0.0,0.0,0.0,0.0,0.0,31973500.0,0.0
2351600000,Ліплявська,0.0,0.0,0.0,10982000.0,0.0,0.0,0.0,0.0,0.0,10982000.0,0.0
2356800000,Маньківська,0.0,0.0,0.0,46303200.0,0.0,0.0,0.0,0.0,0.0,46303200.0,0.0
2352300000,Матусівська,0.0,0.0,0.0,7915900.0,0.0,0.0,0.0,0.0,0.0,7915900.0,0.0
