Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41038800] Програма відновлення України III,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41037900] Шкільні автобуси (разова програма за рахунок залишків),[41037400] Покращення якості гарячого харчування,[41031100] Забезпечення харчуванням учнів (нові коди),"[41038000] Для підтримки закладів освіти, які постраждали внаслідок агресії",[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2350200000,Єрківська,0.0,0.0,0.0,0.0,0,0.0,12343000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12343000.0,0.0
2351900000,Іваньківська,0.0,0.0,0.0,0.0,0,0.0,10515800.0,0.0,0.0,0.0,43800.0,0.0,0.0,0.0,0.0,0.0,10559600.0,0.0
2352200000,Іркліївська,0.0,0.0,0.0,0.0,0,0.0,55886000.0,0.0,0.0,0.0,115400.0,0.0,0.0,0.0,0.0,0.0,56001400.0,0.0
2355800000,Бабанська,0.0,0.0,0.0,0.0,0,0.0,18341600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18341600.0,0.0
2356000000,Багачевська,0.0,0.0,0.0,0.0,0,0.0,43780600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43780600.0,0.0
2352700000,Балаклеївська,0.0,0.0,0.0,0.0,0,0.0,23433300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23433300.0,0.0
2355600000,Баштечківська,0.0,0.0,0.0,0.0,0,0.0,12872500.0,0.0,0.0,0.0,48800.0,0.0,0.0,0.0,0.0,0.0,12921300.0,0.0
2352900000,Березняківська,0.0,0.0,0.0,0.0,0,0.0,15719000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15719000.0,0.0
2353000000,Бобрицька,0.0,0.0,0.0,0.0,0,0.0,15623600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15623600.0,0.0
2355900000,Будищенська,0.0,0.0,0.0,0.0,0,0.0,14645500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14645500.0,0.0
2353100000,Бужанська,0.0,0.0,0.0,0.0,0,0.0,14119400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14119400.0,0.0
2352600000,Буцька,0.0,0.0,0.0,0.0,0,0.0,15342400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15342400.0,0.0
2350100000,Білозірська,0.0,0.0,0.0,0.0,0,0.0,24818800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24818800.0,0.0
2353200000,Великохутірська,0.0,0.0,0.0,0.0,0,0.0,8630300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8630300.0,0.0
2355700000,Виноградська,0.0,0.0,0.0,0.0,0,0.0,13385900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13385900.0,0.0
2353400000,Водяницька,0.0,0.0,0.0,0.0,0,0.0,17614900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17614900.0,0.0
2356100000,Вознесенська,0.0,0.0,0.0,0.0,0,0.0,13766600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13766600.0,0.0
2353300000,Вільшанська,0.0,0.0,0.0,0.0,0,0.0,20396200.0,0.0,0.0,0.0,89000.0,0.0,0.0,0.0,0.0,0.0,20485200.0,0.0
2356200000,Гельмязівська,0.0,0.0,0.0,0.0,0,0.0,28478500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28478500.0,0.0
