Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41033900] Освітня субвенція (зарплати),[41032800] Облаштування безпечних умов (укриттів) у школах,[41033800] Майстерні профтехів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2350200000,Єрківська,0.0,0.0,0.0,0.0,0.0,13767900.0,13065465.0,0.0,0.0,0.0,0.0,26833365.0,0.0
2351900000,Іваньківська,0.0,0.0,0.0,0.0,0.0,11623000.0,0.0,0.0,0.0,0.0,0.0,11623000.0,0.0
2352200000,Іркліївська,0.0,0.0,0.0,0.0,0.0,58367700.0,0.0,0.0,0.0,0.0,0.0,58367700.0,0.0
2355800000,Бабанська,0.0,0.0,0.0,0.0,0.0,18435800.0,0.0,0.0,0.0,0.0,0.0,18435800.0,0.0
2356000000,Багачевська,0.0,0.0,0.0,0.0,0.0,44202600.0,0.0,0.0,0.0,0.0,0.0,44202600.0,0.0
2352700000,Балаклеївська,0.0,0.0,0.0,0.0,0.0,25030900.0,0.0,0.0,0.0,0.0,0.0,25030900.0,0.0
2355600000,Баштечківська,0.0,0.0,0.0,0.0,0.0,13258500.0,0.0,0.0,0.0,0.0,0.0,13258500.0,0.0
2352900000,Березняківська,0.0,0.0,0.0,0.0,0.0,14822100.0,0.0,0.0,0.0,0.0,0.0,14822100.0,0.0
2353000000,Бобрицька,0.0,0.0,0.0,0.0,0.0,14904500.0,0.0,0.0,0.0,0.0,0.0,14904500.0,0.0
2355900000,Будищенська,0.0,0.0,0.0,0.0,0.0,13268000.0,0.0,0.0,0.0,0.0,0.0,13268000.0,0.0
2353100000,Бужанська,0.0,0.0,0.0,0.0,0.0,13149600.0,0.0,0.0,0.0,0.0,0.0,13149600.0,0.0
2352600000,Буцька,0.0,0.0,0.0,0.0,0.0,16270600.0,0.0,0.0,0.0,0.0,0.0,16270600.0,0.0
2350100000,Білозірська,0.0,0.0,0.0,0.0,0.0,25940200.0,0.0,0.0,0.0,0.0,0.0,25940200.0,0.0
2353200000,Великохутірська,0.0,0.0,0.0,0.0,0.0,8127500.0,0.0,0.0,0.0,0.0,0.0,8127500.0,0.0
2355700000,Виноградська,0.0,0.0,0.0,0.0,0.0,12384000.0,0.0,0.0,0.0,0.0,0.0,12384000.0,0.0
2353400000,Водяницька,0.0,0.0,0.0,0.0,0.0,18805100.0,0.0,0.0,0.0,0.0,0.0,18805100.0,0.0
2356100000,Вознесенська,0.0,0.0,0.0,0.0,0.0,14174500.0,0.0,0.0,0.0,0.0,0.0,14174500.0,0.0
2353300000,Вільшанська,0.0,0.0,0.0,0.0,0.0,19447100.0,0.0,0.0,0.0,0.0,0.0,19447100.0,0.0
2356200000,Гельмязівська,0.0,0.0,0.0,0.0,0.0,31197400.0,0.0,0.0,0.0,0.0,0.0,31197400.0,0.0
2356300000,Городищенська,0.0,0.0,0.0,0.0,0.0,60063000.0,0.0,0.0,0.0,0.0,0.0,60063000.0,0.0
2353500000,Дмитрушківська,0.0,0.0,0.0,0.0,0.0,40775200.0,0.0,0.0,0.0,0.0,0.0,40775200.0,0.0
