Рік,Категорія,Код,Найменування,Діюча,Знята,Нова
2022,"Реверсивна",41010100,"Реверсна дотація",1,0,1
2022,"Базова",41020100,"Базова дотація",1,0,1
2022,"Додаткові",41020200,"На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я",1,0,1
2022,"Додаткові",41020300,"На функціонування територій, на яких ведуться бойові дії",1,0,1
2022,"Додаткові",41020400,"Додаткові дотації з державного бюджету місцевим бюджетам (загальна)",1,0,1
2022,"Додаткові",41020600,"[Назву стерто] Додаткова дотація (виключена наприкінці 2024 року)",1,0,1
2022,"Додаткові",41020800,"Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури",1,0,1
2022,"Додаткові",41021000,"На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності",1,0,1
2022,"Додаткові",41021100,"[Назву стерто] Додаткова дотація (виключена наприкінці 2023 року)",1,0,1
2022,"Додаткові",41021200,"Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації",1,0,1
2022,"Додаткові",41021300,"На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",1,0,1
2022,"Додаткові",41021400,"На здійснення повноважень органів самоврядування на деокупованих та інших територіях",1,0,1
2023,"Реверсивна",41010100,"Реверсна дотація",1,0,0
2023,"Базова",41020100,"Базова дотація",1,0,0
2023,"Додаткові",41020200,"На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я",1,0,0
2023,"Додаткові",41020300,"На функціонування територій, на яких ведуться бойові дії",1,0,0
2023,"Додаткові",41020400,"Додаткові дотації з державного бюджету місцевим бюджетам (загальна)",1,0,0
2023,"Додаткові",41020600,"[Назву стерто] Додаткова дотація (виключена наприкінці 2024 року)",1,0,0
2023,"Додаткові",41020800,"Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури",1,0,0
2023,"Додаткові",41021000,"На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності",1,0,0
2023,"Додаткові",41021100,"[Назву стерто] Додаткова дотація (виключена наприкінці 2023 року)",0,1,0
2023,"Додаткові",41021200,"Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації",1,0,0
2023,"Додаткові",41021300,"На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",1,0,0
2023,"Додаткові",41021400,"На здійснення повноважень органів самоврядування на деокупованих та інших територіях",1,0,0
2024,"Реверсивна",41010100,"Реверсна дотація",1,0,0
2024,"Базова",41020100,"Базова дотація",1,0,0
2024,"Додаткові",41020200,"На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я",1,0,0
2024,"Додаткові",41020300,"На функціонування територій, на яких ведуться бойові дії",1,0,0
2024,"Додаткові",41020400,"Додаткові дотації з державного бюджету місцевим бюджетам (загальна)",1,0,0
2024,"Додаткові",41020600,"[Назву стерто] Додаткова дотація (виключена наприкінці 2024 року)",1,0,0
2024,"Додаткові",41020800,"Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури",1,0,0
2024,"Додаткові",41021000,"На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності",1,0,0
2024,"Додаткові",41021200,"Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації",1,0,0
2024,"Додаткові",41021300,"На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",1,0,0
2024,"Додаткові",41021400,"На здійснення повноважень органів самоврядування на деокупованих та інших територіях",1,0,0
2025,"Реверсивна",41010100,"Реверсна дотація",1,0,0
2025,"Базова",41020100,"Базова дотація",1,0,0
2025,"Додаткові",41020200,"На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я",1,0,0
2025,"Додаткові",41020300,"На функціонування територій, на яких ведуться бойові дії",1,0,0
2025,"Додаткові",41020400,"Додаткові дотації з державного бюджету місцевим бюджетам (загальна)",1,0,0
2025,"Додаткові",41020600,"[Назву стерто] Додаткова дотація (виключена наприкінці 2024 року)",0,1,0
2025,"Додаткові",41020800,"Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури",1,0,0
2025,"Додаткові",41021000,"На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності",1,0,0
2025,"Додаткові",41021200,"Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації",1,0,0
2025,"Додаткові",41021300,"На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",1,0,0
2025,"Додаткові",41021400,"На здійснення повноважень органів самоврядування на деокупованих та інших територіях",1,0,0
