Рік,Категорія,Код,Найменування,Діюча,Знята,Нова
2022,"Війна та відновлення",41031200,"На забезпечення нагальних потреб функціонування держави в умовах воєнного стану",1,0,1
2022,"Війна та відновлення",41034700,"На ліквідацію наслідків збройної агресії",1,0,1
2022,"Війна та відновлення",41036100,"На житло для сімей ветеранів війни та інвалідів внаслідок війни",1,0,1
2022,"Війна та відновлення",41036800,"Проект ""Ремонт житла для відновлення (HOPE)""",1,0,1
2022,"Освіта",41033900,"Освітня субвенція (зарплати)",1,0,1
2022,"Освіта",41036000,"""Нова українська школа""",1,0,1
2022,"Освіта",41032800,"Облаштування безпечних умов (укриттів) у школах",1,0,1
2022,"Освіта",41031900,"Шкільні автобуси",1,0,1
2022,"Освіта",41033300,"Забезпечення харчуванням учнів",1,0,1
2022,"Охорона здоров'я",41033000,"Підтримка окремих закладів у системі охорони здоров'я",1,0,1
2022,"Охорона здоров'я",41037500,"Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",1,0,1
2022,"Охорона здоров'я",41036500,"Облаштування безпечних умов (укриттів) у закладах охорони здоров'я",1,0,1
2023,"Війна та відновлення",41031200,"На забезпечення нагальних потреб функціонування держави в умовах воєнного стану",1,0,0
2023,"Війна та відновлення",41034700,"На ліквідацію наслідків збройної агресії",1,0,0
2023,"Війна та відновлення",41036100,"На житло для сімей ветеранів війни та інвалідів внаслідок війни",1,0,0
2023,"Війна та відновлення",41036800,"Проект ""Ремонт житла для відновлення (HOPE)""",0,1,0
2023,"Освіта",41033900,"Освітня субвенція (зарплати)",1,0,0
2023,"Освіта",41036000,"""Нова українська школа""",1,0,0
2023,"Освіта",41032800,"Облаштування безпечних умов (укриттів) у школах",1,0,0
2023,"Освіта",41031900,"Шкільні автобуси",0,1,0
2023,"Освіта",41033300,"Забезпечення харчуванням учнів",0,1,0
2023,"Охорона здоров'я",41033000,"Підтримка окремих закладів у системі охорони здоров'я",1,0,0
2023,"Охорона здоров'я",41037500,"Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",1,0,0
2023,"Охорона здоров'я",41036500,"Облаштування безпечних умов (укриттів) у закладах охорони здоров'я",0,1,0
2024,"Війна та відновлення",41031200,"На забезпечення нагальних потреб функціонування держави в умовах воєнного стану",1,0,0
2024,"Війна та відновлення",41034700,"На ліквідацію наслідків збройної агресії",1,0,0
2024,"Війна та відновлення",41036100,"На житло для сімей ветеранів війни та інвалідів внаслідок війни",1,0,0
2024,"Війна та відновлення",41037800,"На розвиток ветеранських просторів",1,0,1
2024,"Війна та відновлення",41035800,"На діяльність фахівців із супроводу ветеранів війни",1,0,1
2024,"Війна та відновлення",41038800,"Програма відновлення України III",1,0,1
2024,"Освіта",41033900,"Освітня субвенція (зарплати)",1,0,0
2024,"Освіта",41036000,"""Нова українська школа""",1,0,0
2024,"Освіта",41032800,"Облаштування безпечних умов (укриттів) у школах",1,0,0
2024,"Освіта",41037900,"Шкільні автобуси (разова програма за рахунок залишків)",1,0,1
2024,"Освіта",41037400,"Покращення якості гарячого харчування",1,0,1
2024,"Освіта",41031100,"Забезпечення харчуванням учнів (нові коди)",1,0,1
2024,"Освіта",41038000,"Для підтримки закладів освіти, які постраждали внаслідок агресії",1,0,1
2024,"Охорона здоров'я",41033000,"Підтримка окремих закладів у системі охорони здоров'я",1,0,0
2024,"Охорона здоров'я",41037500,"Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",1,0,0
2025,"Війна та відновлення",41031200,"На забезпечення нагальних потреб функціонування держави в умовах воєнного стану",1,0,0
2025,"Війна та відновлення",41034700,"На ліквідацію наслідків збройної агресії",1,0,0
2025,"Війна та відновлення",41036100,"На житло для сімей ветеранів війни та інвалідів внаслідок війни",1,0,0
2025,"Війна та відновлення",41037800,"На розвиток ветеранських просторів",1,0,0
2025,"Війна та відновлення",41035800,"На діяльність фахівців із супроводу ветеранів війни",1,0,0
2025,"Війна та відновлення",41038800,"Програма відновлення України III",0,1,0
2025,"Освіта",41033900,"Освітня субвенція (зарплати)",1,0,0
2025,"Освіта",41036000,"""Нова українська школа""",0,1,0
2025,"Освіта",41032800,"Облаштування безпечних умов (укриттів) у школах",1,0,0
2025,"Освіта",41037900,"Шкільні автобуси (разова програма за рахунок залишків)",0,1,0
2025,"Освіта",41037400,"Покращення якості гарячого харчування",0,1,0
2025,"Освіта",41031100,"Забезпечення харчуванням учнів (нові коди)",0,1,0
2025,"Освіта",41038000,"Для підтримки закладів освіти, які постраждали внаслідок агресії",0,1,0
2025,"Освіта",41033800,"Майстерні профтехів",1,0,1
2025,"Охорона здоров'я",41033000,"Підтримка окремих закладів у системі охорони здоров'я",1,0,0
2025,"Охорона здоров'я",41037500,"Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",1,0,0
